entry moduleId genCharge genPdgId genVx genVy genVz genCotTheta genD0 genDz genInvPt genPt genPhi genEta stubPhi stubEta stubR stubX stubY stubZ stubLocalPhi stubLocalZ 
51 101515 -1 13 0.00154183 0.00026115 7.80244 0.27756 0.0012755 7.80218 -0.127689 7.83151 1.12163 0.274114 1.20056 0.338417 108.493 39.2561 101.141 37.4206 984 0

55 50334 -1 13 0.00159256 0.000408621 4.61242 0.31773 0.00116082 4.61205 -0.173122 5.77626 1.03505 0.312614 1.05858 0.487942 23.9859 11.7558 20.9075 12.1737 765.5 21
55 60431 -1 13 0.00159256 0.000408621 4.61242 0.31773 0.00116082 4.61205 -0.173122 5.77626 1.03505 0.312614 1.06886 0.437011 34.1626 16.4364 29.9487 15.4092 405.5 29
55 70631 -1 13 0.00159256 0.000408621 4.61242 0.31773 0.00116082 4.61205 -0.173122 5.77626 1.03505 0.312614 1.08462 0.400191 49.8368 23.2863 44.0619 20.4809 600 7
55 80814 -1 13 0.00159256 0.000408621 4.61242 0.31773 0.00116082 4.61205 -0.173122 5.77626 1.03505 0.312614 1.10252 0.400082 67.7158 30.5637 60.4259 27.8204 91.5 0
55 91115 -1 13 0.00159256 0.000408621 4.61242 0.31773 0.00116082 4.61205 -0.173122 5.77626 1.03505 0.312614 1.12409 0.355628 89.202 38.5349 80.4491 32.3956 415 1
55 101415 -1 13 0.00159256 0.000408621 4.61242 0.31773 0.00116082 4.61205 -0.173122 5.77626 1.03505 0.312614 1.14149 0.344757 106.421 44.2971 96.764 37.4206 696 0

66 50334 -1 13 0.00060931 0.000172979 3.06518 0.340568 0.000478557 3.06504 -0.18497 5.40628 1.13311 0.334306 1.15836 0.452951 23.8194 9.54775 21.8221 11.1618 526.5 28
66 60430 -1 13 0.00060931 0.000172979 3.06518 0.340568 0.000478557 3.06504 -0.18497 5.40628 1.13311 0.334306 1.17042 0.415187 35.0246 13.6513 32.2547 14.9632 49 4
66 70631 -1 13 0.00060931 0.000172979 3.06518 0.340568 0.000478557 3.06504 -0.18497 5.40628 1.13311 0.334306 1.18652 0.391112 49.9731 18.7344 46.3285 20.0472 91.5 10
66 80914 -1 13 0.00060931 0.000172979 3.06518 0.340568 0.000478557 3.06504 -0.18497 5.40628 1.13311 0.334306 1.2075 0.389547 69.6425 24.7479 65.097 27.8204 280 0
66 91215 -1 13 0.00060931 0.000172979 3.06518 0.340568 0.000478557 3.06504 -0.18497 5.40628 1.13311 0.334306 1.22627 0.363445 87.2024 29.453 82.0779 32.3956 409 1
66 101516 -1 13 0.00060931 0.000172979 3.06518 0.340568 0.000478557 3.06504 -0.18497 5.40628 1.13311 0.334306 1.24972 0.380598 109.017 34.4045 103.446 42.5007 391 1

81 50333 -1 13 0.000337791 -0.000609763 0.329069 0.425741 0.000527124 0.329264 -0.198079 5.04848 1.21921 0.413828 1.24542 0.425491 23.2631 7.43636 22.0425 10.1996 323 3
81 60531 -1 13 0.000337791 -0.000609763 0.329069 0.425741 0.000527124 0.329264 -0.198079 5.04848 1.21921 0.413828 1.26 0.42433 36.2389 11.0826 34.5027 15.8429 657 26
81 70732 -1 13 0.000337791 -0.000609763 0.329069 0.425741 0.000527124 0.329264 -0.198079 5.04848 1.21921 0.413828 1.27702 0.419461 51.2652 14.845 49.0688 22.1399 564.5 24
81 81014 -1 13 0.000337791 -0.000609763 0.329069 0.425741 0.000527124 0.329264 -0.198079 5.04848 1.21921 0.413828 1.29542 0.400629 67.6184 18.386 65.0708 27.8204 609.5 0
81 91315 -1 13 0.000337791 -0.000609763 0.329069 0.425741 0.000527124 0.329264 -0.198079 5.04848 1.21921 0.413828 1.31976 0.408099 89.1983 22.1573 86.4025 37.4206 484.5 0
81 101616 -1 13 0.000337791 -0.000609763 0.329069 0.425741 0.000527124 0.329264 -0.198079 5.04848 1.21921 0.413828 1.33993 0.430617 107.028 24.4901 104.188 47.5257 303.5 0

99 50334 -1 13 0.00247086 -0.000427084 7.03588 0.3032 0.00234237 7.03561 -0.324974 3.07717 1.03471 0.298737 1.07932 0.568226 23.9314 11.2939 21.0989 14.3421 715.5 6
99 60431 -1 13 0.00247086 -0.000427084 7.03588 0.3032 0.00234237 7.03561 -0.324974 3.07717 1.03471 0.298737 1.09912 0.489897 34.2007 15.5401 30.4663 17.4331 302 15
99 70632 -1 13 0.00247086 -0.000427084 7.03588 0.3032 0.00234237 7.03561 -0.324974 3.07717 1.03471 0.298737 1.12759 0.433148 49.2265 21.1102 44.4703 21.9954 387 25
99 80914 -1 13 0.00247086 -0.000427084 7.03588 0.3032 0.00234237 7.03561 -0.324974 3.07717 1.03471 0.298737 1.1664 0.389682 69.6172 27.392 64.0018 27.8204 598 0
